종목명,Y_Change,Y_TA
SK하이닉스,-24.8,426369277489.06885
NAVER,-40.09720534629405,224665286374.49393
현대차,-26.722338204592898,145027293931.1741
삼성SDI,-16.909620991253643,185412389295.54657
셀트리온,-32.33189666773038,132142069829.7166
삼성물산,-10.948905109489052,36811110819.83806
POSCO,-32.564841498559076,110596902603.23886
KB금융,-14.260249554367203,75769418159.31174
신한지주,-7.45721271393643,53233864646.55871
현대모비스,-31.26079447322971,60578956659.91903
SK이노베이션,-29.20353982300885,118409697404.8583
SK,-22.55772646536412,43714163570.850204
한국전력,-10.06036217303823,42264231264.37247
LG전자,-43.66459627329193,133418050346.15384
카카오뱅크,-55.44412607449857,208847298759.13242
S-Oil,5.365853658536586,38173918128.34008
하나금융지주,-14.193548387096774,49850999598.38057
SK텔레콤,-5.045148344560699,61971195101.927124
LG생활건강,-59.476380193511666,60621933983.80567
삼성전기,-24.362606232294617,97137616884.61539
삼성화재,-9.090909090909092,20871101291.497974
고려아연,13.287514318442154,28883467485.82996
우리금융지주,3.8793103448275863,40450515638.05668
포스코케미칼,-21.03448275862069,61198312592.71255
LG이노텍,60.22471910112359,106792679544.53441
엔씨소프트,-52.737226277372265,133805222599.19028
아모레퍼시픽,-45.596868884540115,48348709190.2834
한화솔루션,-14.394765539803709,44260665088.866394
기업은행,-6.571428571428571,14254678342.388664
현대글로비스,-12.23021582733813,24868771961.53846
한국조선해양,-32.193308550185876,27534653378.94737
롯데케미칼,-31.16883116883117,30113126852.22672
넷마블,-47.340823970037455,28009028930.76923
LG유플러스,-15.737704918032788,15955954348.987854
강원랜드,-4.990757855822551,21010001333.40081
한온시스템,-39.33933933933934,11290260993.157894
삼성중공업,-8.28125,25441490037.076923
한국항공우주,65.20423600605145,34450512618.21862
LG디스플레이,-38.125,59894485279.75709
SKC,-6.940063091482649,54239576024.2915
코웨이,-20.979899497487438,12343932887.044535
현대건설,-29.64984406010774,28703564479.303642
DB손해보험,10.108303249097473,9903117834.412956
현대제철,-39.55637707948244,28939568841.295547
금호석유,-35.61643835616438,34090071176.11336
오리온,-10.970464135021098,11702273651.012146
메리츠화재,73.75,12541338952.42915
롯데지주,-7.587064676616915,4690234296.356276
GS,-7.559395248380129,10459228125.708502
한미약품,-6.908034294469727,9647707922.008097
