종목코드,종목명,시장,E_GRADE,S_GRADE,G_GRADE,ESG_GRADE
000660,SK하이닉스,KOSPI,4,1,2,3
035420,NAVER,KOSPI,2,3,1,2
005380,현대차,KOSPI,3,2,1,2
006400,삼성SDI,KOSPI,4,3,2,4
068270,셀트리온,KOSPI,8,7,3,7
028260,삼성물산,KOSPI,2,1,1,2
005490,POSCO,KOSPI,3,2,1,2
105560,KB금융,KOSPI,1,2,1,1
055550,신한지주,KOSPI,2,2,1,1
012330,현대모비스,KOSPI,3,1,1,2
096770,SK이노베이션,KOSPI,3,2,1,2
034730,SK,KOSPI,2,1,1,1
015760,한국전력,KOSPI,4,4,1,3
066570,LG전자,KOSPI,2,2,2,3
323410,카카오뱅크,KOSPI,5,3,1,3
010950,S-Oil,KOSPI,3,2,1,2
086790,하나금융지주,KOSPI,2,3,1,2
017670,SK텔레콤,KOSPI,2,2,1,2
051900,LG생활건강,KOSPI,3,1,2,2
009150,삼성전기,KOSPI,3,2,1,3
000810,삼성화재,KOSPI,2,1,1,2
010130,고려아연,KOSPI,6,7,6,6
316140,우리금융지주,KOSPI,1,2,1,1
003670,포스코케미칼,KOSPI,3,2,3,3
011070,LG이노텍,KOSPI,2,2,1,2
036570,엔씨소프트,KOSPI,5,4,2,5
090430,아모레퍼시픽,KOSPI,2,1,1,2
009830,한화솔루션,KOSPI,3,4,4,4
024110,기업은행,KOSPI,3,2,3,3
086280,현대글로비스,KOSPI,2,3,1,2
009540,한국조선해양,KOSPI,3,4,2,3
011170,롯데케미칼,KOSPI,4,1,2,3
251270,넷마블,KOSPI,9,6,3,7
032640,LG유플러스,KOSPI,2,3,1,2
035250,강원랜드,KOSPI,5,4,2,4
018880,한온시스템,KOSPI,5,6,6,6
010140,삼성중공업,KOSPI,6,5,3,5
047810,한국항공우주,KOSPI,3,3,1,3
034220,LG디스플레이,KOSPI,5,1,3,4
011790,SKC,KOSPI,3,2,1,3
021240,코웨이,KOSPI,2,2,4,3
000720,현대건설,KOSPI,2,2,1,2
005830,DB손해보험,KOSPI,3,2,1,2
004020,현대제철,KOSPI,4,2,1,3
011780,금호석유,KOSPI,6,4,2,5
271560,오리온,KOSPI,3,5,3,4
000060,메리츠화재,KOSPI,9,7,2,7
004990,롯데지주,KOSPI,4,3,2,4
078930,GS,KOSPI,4,4,2,4
128940,한미약품,KOSPI,4,3,2,3
036460,한국가스공사,KOSPI,5,4,3,5
010620,현대미포조선,KOSPI,3,3,2,3
029780,삼성카드,KOSPI,2,2,1,1
003410,쌍용C&E,KOSPI,4,3,3,4
010060,OCI,KOSPI,4,2,1,3
282330,BGF리테일,KOSPI,3,3,1,3
028670,팬오션,KOSPI,5,9,2,6
307950,현대오토에버,KOSPI,3,3,2,3
002790,아모레G,KOSPI,2,1,2,2
005940,NH투자증권,KOSPI,3,2,1,2
016360,삼성증권,KOSPI,3,2,2,3
023530,롯데쇼핑,KOSPI,4,3,1,3
008770,호텔신라,KOSPI,4,2,1,3
001450,현대해상,KOSPI,2,2,1,2
008930,한미사이언스,KOSPI,4,3,2,4
030000,제일기획,KOSPI,8,5,4,6
052690,한전기술,KOSPI,6,6,4,6
007070,GS리테일,KOSPI,3,4,1,3
272210,한화시스템,KOSPI,5,4,2,4
026960,동서,KOSPI,9,9,8,9
012750,에스원,KOSPI,6,5,3,5
112610,씨에스윈드,KOSPI,7,8,3,7
047040,대우건설,KOSPI,4,3,2,4
047050,포스코인터내셔널,KOSPI,2,1,1,2
001440,대한전선,KOSPI,3,3,2,3
064350,현대로템,KOSPI,3,2,1,2
204320,만도,KOSPI,4,2,2,3
138930,BNK금융지주,KOSPI,3,2,1,2
039490,키움증권,KOSPI,9,5,3,7
004170,신세계,KOSPI,4,4,2,4
006260,LS,KOSPI,4,2,5,4
006280,녹십자,KOSPI,6,7,4,6
336260,두산퓨얼셀,KOSPI,7,5,2,6
000880,한화,KOSPI,4,4,1,3
081660,휠라홀딩스,KOSPI,6,3,1,4
111770,영원무역,KOSPI,5,7,3,6
004800,효성,KOSPI,3,2,3,3
093370,후성,KOSPI,4,7,7,6
004370,농심,KOSPI,6,5,7,6
005300,롯데칠성,KOSPI,4,3,1,3
003090,대웅,KOSPI,9,6,8,8
336370,솔루스첨단소재,KOSPI,9,8,4,8
014820,동원시스템즈,KOSPI,7,6,8,7
007310,오뚜기,KOSPI,4,2,5,4
009240,한샘,KOSPI,4,1,2,3
000210,DL,KOSPI,2,2,1,2
005070,코스모신소재,KOSPI,6,8,7,7
005850,에스엘,KOSPI,5,6,4,5
175330,JB금융지주,KOSPI,2,2,1,2
120110,코오롱인더,KOSPI,5,5,3,5
139130,DGB금융지주,KOSPI,2,2,1,2
001120,LX인터내셔널,KOSPI,3,3,2,3
042700,한미반도체,KOSPI,9,9,6,9
001230,동국제강,KOSPI,4,5,5,5
000240,한국앤컴퍼니,KOSPI,4,3,6,4
010780,아이에스동서,KOSPI,6,7,2,6
