종목코드,종목명,시장,E_GRADE,S_GRADE,G_GRADE,ESG_GRADE
005930,삼성전자,KOSPI,,,,
207940,삼성바이오로직스,KOSPI,,,,
051910,LG화학,KOSPI,,,,
000270,기아,KOSPI,,,,
035720,카카오,KOSPI,,,,
032830,삼성생명,KOSPI,,,,
034020,두산중공업,KOSPI,,,,
003550,LG,KOSPI,,,,
011200,HMM,KOSPI,,,,
033780,KT&G,KOSPI,,,,
018260,삼성에스디에스,KOSPI,,,,
030200,KT,KOSPI,,,,
003490,대한항공,KOSPI,,,,
097950,CJ제일제당,KOSPI,,,,
267250,현대중공업지주,KOSPI,,,,
028050,삼성엔지니어링,KOSPI,,,,
180640,한진칼,KOSPI,,,,
000100,유한양행,KOSPI,,,,
161390,한국타이어앤테크놀로지,KOSPI,,,,
006800,미래에셋증권,KOSPI,,,,
071050,한국금융지주,KOSPI,,,,
138040,메리츠금융지주,KOSPI,,,,
020150,일진머티리얼즈,KOSPI,,,,
008560,메리츠증권,KOSPI,,,,
139480,이마트,KOSPI,,,,
241560,두산밥캣,KOSPI,,,,
006360,GS건설,KOSPI,,,,
000120,CJ대한통운,KOSPI,,,,
042660,대우조선해양,KOSPI,,,,
002380,KCC,KOSPI,,,,
012450,한화에어로스페이스,KOSPI,,,,
014680,한솔케미칼,KOSPI,,,,
001040,CJ,KOSPI,,,,
000990,DB하이텍,KOSPI,,,,
000080,하이트진로,KOSPI,,,,
069620,대웅제약,KOSPI,,,,
088350,한화생명,KOSPI,,,,
051600,한전KPS,KOSPI,,,,
010120,LS ELECTRIC,KOSPI,,,,
298050,효성첨단소재,KOSPI,,,,
004000,롯데정밀화학,KOSPI,,,,
069960,현대백화점,KOSPI,,,,
285130,SK케미칼,KOSPI,,,,
079550,LIG넥스원,KOSPI,,,,
011210,현대위아,KOSPI,,,,
298020,효성티앤씨,KOSPI,,,,
016380,KG동부제철,KOSPI,,,,
017390,서울가스,KOSPI,,,,
012510,더존비즈온,KOSPI,,,,
195870,해성디에스,KOSPI,,,,
185750,종근당,KOSPI,,,,
001800,오리온홀딩스,KOSPI,,,,
015350,부산가스,KOSPI,,,,
267260,현대일렉트릭,KOSPI,,,,
267270,현대건설기계,KOSPI,,,,
161890,한국콜마,KOSPI,,,,
006040,동원산업,KOSPI,,,,
006650,대한유화,KOSPI,,,,
034120,SBS,KOSPI,,,,
003230,삼양식품,KOSPI,,,,
280360,롯데제과,KOSPI,,,,
294870,HDC현대산업개발,KOSPI,,,,
103140,풍산,KOSPI,,,,
003520,영진약품,KOSPI,,,,
036420,제이콘텐트리,KOSPI,,,,
017960,한국카본,KOSPI,,,,
284740,쿠쿠홈시스,KOSPI,,,,
298000,효성화학,KOSPI,,,,
005610,SPC삼립,KOSPI,,,,
097230,한진중공업,KOSPI,,,,
298040,효성중공업,KOSPI,,,,
009450,경동나비엔,KOSPI,,,,
049770,동원F&B,KOSPI,,,,
192400,쿠쿠홀딩스,KOSPI,,,,
025540,한국단자,KOSPI,,,,
000400,롯데손해보험,KOSPI,,,,
001720,신영증권,KOSPI,,,,
002350,넥센타이어,KOSPI,,,,
025860,남해화학,KOSPI,,,,
000370,한화손해보험,KOSPI,,,,
008730,율촌화학,KOSPI,,,,
138250,엔에스쇼핑,KOSPI,,,,
001880,DL건설,KOSPI,,,,
033240,자화전자,KOSPI,,,,
009160,SIMPAC,KOSPI,,,,
005390,신성통상,KOSPI,,,,
001820,삼화콘덴서,KOSPI,,,,
102460,이연제약,KOSPI,,,,
027410,BGF,KOSPI,,,,
183190,아세아시멘트,KOSPI,,,,
060980,한라홀딩스,KOSPI,,,,
001390,KG케미칼,KOSPI,,,,
075580,세진중공업,KOSPI,,,,
010690,화신,KOSPI,,,,
091810,티웨이항공,KOSPI,,,,
017940,E1,KOSPI,,,,
072710,농심홀딩스,KOSPI,,,,
029530,신도리코,KOSPI,,,,
117580,대성에너지,KOSPI,,,,
002310,아세아제지,KOSPI,,,,
095570,AJ네트웍스,KOSPI,,,,
037270,YG PLUS,KOSPI,,,,
004700,조광피혁,KOSPI,,,,
272550,삼양패키징,KOSPI,,,,
002030,아세아,KOSPI,,,,
000140,하이트진로홀딩스,KOSPI,,,,
003920,남양유업,KOSPI,,,,
001070,대한방직,KOSPI,,,,
030210,KTB투자증권,KOSPI,,,,
001460,BYC,KOSPI,,,,
002780,진흥기업,KOSPI,,,,
136490,선진,KOSPI,,,,
